Name,total_points_earned,finish_time_sum_hours,finish_distinct_map_count,finish_map_count,finish_points_total,finish_race_point,finish_solo_point,finish_ddmax_point,finish_dummy_point,finish_brutal_point,finish_insane_point,finish_novice_point,finish_moderate_point,finish_oldschool_point,finish_fun_point,finish_race_new_map_count,finish_solo_new_map_count,finish_ddmax_new_map_count,finish_dummy_new_map_count,finish_brutal_new_map_count,finish_insane_new_map_count,finish_novice_new_map_count,finish_moderate_new_map_count,finish_oldschool_new_map_count,finish_fun_new_map_count,finish_fun_map_count,finish_race_map_count,finish_solo_map_count,finish_ddmax_map_count,finish_dummy_map_count,finish_brutal_map_count,finish_insane_map_count,finish_novice_map_count,finish_moderate_map_count,finish_oldschool_map_count,most_finished_map_2021,map_finished_count,most_finished_map_2021_spend_minues,day_latest_finish_time,day_latest_finish_map,most_finish_hour,most_finish_hour_count,most_finish_weekday,most_finish_weekday_count,days_count_has_records_2021,player_count_2021,total_points_earned_rank,finish_time_sum_hours_rank,team_count,teammate_count,favorite_teammate,favorite_teammate_team_count
KuNao,14489,717.6915777777779,890,956,15505,36,1284,2256,1820,6060,258,84,1641,1050,0,8,127,171,87,269,7,21,131,67,2,0,36,1380,2304,2175,6273,444,127,1716,1050,Bullseye,7,381.01166666666666,2021-09-05 05:44:13,Sandanjuu,22,98,6,150,285,104320,1,38,137,54,Nurxil,35
猫猫,13592,987.4942277777785,1340,1791,16481,340,2156,3304,1065,1896,38,482,3501,810,0,85,244,320,65,95,1,146,303,77,4,0,390,2608,3536,1555,1935,38,965,4638,816,lumine,19,126.83166666666668,2021-05-15 05:51:33,mazepack,20,139,5,295,304,104320,2,12,185,88,自行车,58
wink,12773,963.3448555555559,1081,1418,15912,184,896,3008,915,3309,0,290,3463,708,0,50,121,248,56,159,0,84,289,69,5,0,190,1100,3440,1210,3657,0,489,5010,816,NUT_short_race6,21,2.423333333333333,2021-02-12 05:56:38,Dead Island,1,118,7,222,314,104320,3,14,183,61,DAgz,82
被强煎的蛋,12713,1029.119077777778,1275,1701,15316,190,2084,3196,1320,1449,0,490,3294,690,0,61,240,313,78,75,0,149,288,70,1,0,196,2456,3340,1755,1710,0,1102,4001,756,NUT_short_race6,34,2.4726666666666666,2021-04-08 02:58:51,luminati,22,165,2,274,272,104320,4,11,113,58,贝塔,43
满月,12625,969.6898333333338,1110,1323,13904,356,1452,3056,830,2802,68,214,3121,726,0,84,166,278,49,135,2,62,263,67,4,0,388,1880,3292,860,2898,68,265,3407,846,NUT_short_race6,41,9.157666666666668,2021-05-24 05:59:58,Caventure,1,84,6,292,292,104320,5,13,244,86,LCKP,57
顾慌,12524,764.2861222222223,850,1060,14861,62,580,2124,935,5706,144,132,2145,696,0,19,69,169,53,259,4,39,179,58,1,0,62,696,2304,1080,6663,144,153,3003,756,run_g6,33,3.686333333333333,2021-09-02 05:52:22,Nightly Tandem,21,96,7,188,308,104320,6,31,256,69,沈娇娇,40
绝对白给,12494,905.8254611111115,1100,1376,13928,96,1108,3120,745,3462,38,357,2824,744,0,29,148,291,48,162,1,110,248,62,1,0,110,1460,3352,795,3540,38,462,3391,780,run_g6,54,5.862,2021-01-04 05:48:51,DetrimentalFactor,22,141,1,286,286,104320,7,18,76,66,白给,15
Nurxil,12361,735.0391055555551,910,1021,13349,86,996,2524,410,4452,72,164,2667,990,0,22,115,202,27,204,2,44,225,68,1,0,92,1280,2612,460,4605,72,227,2975,1026,Firewatch,6,36.687,2021-08-03 05:54:06,octotorp,0,110,1,166,305,104320,8,36,109,56,KuNao,35
歪比巴卜,11207,664.5737611111111,830,1162,14352,126,1228,1984,765,3672,148,170,2100,1014,0,33,135,151,42,169,4,51,172,69,4,0,140,1836,2028,1000,4341,148,391,3424,1044,Buckle Up,48,14.272333333333332,2021-02-17 03:57:22,Exchange,21,125,7,229,314,104320,9,54,135,58,NoRth,31
黑化窜天猴,11047,1184.2447944444443,1096,1375,12784,146,688,3176,375,2601,0,495,3212,354,0,50,104,309,28,129,0,150,280,43,3,0,148,932,3456,390,2760,0,821,3893,384,NUT_short_race6,10,0.8823333333333332,2021-04-16 05:59:07,Tiny Tandem,0,101,1,220,272,104320,10,7,70,36,暖阳,34
